Effect,Final Variants,Similar Effects,German,Face Concerns,Face Concerns(near concept),Ingredients(near concept),Ingredients	
,,,,,,plant products,astaxanthin extract
,,,,,,plant products,astrocaryum murumuru seed butter
,,,,,,plant products,atractylodes
,,,,,,plant products,avena sativa
,,,,,,plant products,awapuhi
,,,,,,plant products,ayahuasca
,,,,,,plant products,azuki beans
,,,,,,plant products,bacuri butter
,,,,,,plant products,balm mint extract
,,,,,,plant products,balsam
,,,,,,plant products,balsam fir
,,,,,,plant products,bamboo
,,,,,,plant products,bamboo extract
,,,,,,plant products,bamboo leaf
,,,,,,plant products,bamboo silica
,,,,,,plant products,bamboo stem
,,,,,,plant products,banana extract
,,,,,,plant products,baobab
,,,,,,plant products,barberry
,,,,,,plant products,barley extract
,,,,,,plant products,barosma betulina
,,,,,,plant products,bay laurel
,,,,,,plant products,bearberry extract
,,,,,,plant products,beet juice
,,,,,,plant products,beet root
,,,,,,plant products,beet root extract
,,,,,,plant products,belladonna
,,,,,,plant products,benzoin
,,,,,,plant products,benzoin extract
,,,,,,plant products,berberine
,,,,,,plant products,berberis aristata
,,,,,,plant products,beta vulgaris root extract
,,,,,,plant products,betula alba bark extract
,,,,,,plant products,bhringraj
,,,,,,plant products,bidens pilosa
,,,,,,plant products,bilberry extract
,,,,,,plant products,bindii
,,,,,,plant products,birch
,,,,,,plant products,birch bark extract
,,,,,,plant products,birch juice
,,,,,,plant products,birch leaf extract
,,,,,,plant products,birch sap
,,,,,,plant products,bitter orange flower
,,,,,,plant products,black cohosh
,,,,,,plant products,black cumin seed
,,,,,,plant products,black elderberry
,,,,,,plant products,black mulberry
,,,,,,plant products,black raspberry
,,,,,,plant products,black seed
,,,,,,plant products,blackcurrant extract
,,,,,,plant products,bladderwrack
,,,,,,plant products,bloodwort
,,,,,,plant products,blue algae
,,,,,,plant products,blue cohosh
,,,,,,plant products,blue tansy
,,,,,,plant products,blueberry fruit extract
,,,,,,plant products,boerhavia diffusa root extract
,,,,,,plant products,borage
,,,,,,plant products,borage glycerides
,,,,,,plant products,borago officinalis extract
,,,,,,plant products,boswellia
,,,,,,plant products,boswellia carterii
,,,,,,plant products,boswellia serrata extract
,,,,,,plant products,brahmi
,,,,,,plant products,brassica campestris
,,,,,,plant products,brazil nut
,,,,,,plant products,brown algae
,,,,,,plant products,brown seaweed
,,,,,,plant products,bulgarian rose
,,,,,,plant products,bupleurum
,,,,,,plant products,bupleurum falcatum extract
,,,,,,plant products,burdock
,,,,,,plant products,buriti
,,,,,,plant products,butterfly bush
,,,,,,plant products,butterfly ginger
,,,,,,plant products,butterfly pea flower extract
,,,,,,plant products,butyrospermum fruit
,,,,,,plant products,cacao
,,,,,,plant products,cactus flower
,,,,,,plant products,cactus water
,,,,,,plant products,calendula
,,,,,,plant products,calendula officinalis extract
,,,,,,plant products,calendula officinalis flower extract
,,,,,,plant products,calluna vulgaris flower extract
,,,,,,plant products,camellia
,,,,,,plant products,camellia sinensis
,,,,,,plant products,cananga
,,,,,,plant products,cananga extract
,,,,,,plant products,candelilla
,,,,,,plant products,candelilla wax
,,,,,,plant products,carotene
,,,,,,plant products,carrot seed
,,,,,,plant products,cassandra flower
,,,,,,plant products,cassava
,,,,,,plant products,cassia alata leaf extract
,,,,,,plant products,castanea crenata
,,,,,,plant products,catuaba
,,,,,,plant products,cedar atlas
,,,,,,plant products,cedrus atlantica bark extract
,,,,,,plant products,cha de bugre
,,,,,,plant products,chamomilla recutita flower extract
,,,,,,plant products,chanca piedra
,,,,,,plant products,cherry extract
,,,,,,plant products,chestnut
,,,,,,plant products,chia seed oil
,,,,,,plant products,china root
,,,,,,plant products,chinaberry flower extract
,,,,,,plant products,chinaberry leaf extract
,,,,,,plant products,chlorella vulgaris
,,,,,,plant products,chrysanthemum
,,,,,,plant products,chrysanthemum extract
,,,,,,plant products,chrysanthemum parthenium extract
,,,,,,plant products,cica
,,,,,,plant products,cinnamomum
,,,,,,plant products,cistus
,,,,,,plant products,cistus incanus
,,,,,,plant products,citron
,,,,,,plant products,citrullus colocynthis
,,,,,,plant products,citrus aurantifolia
,,,,,,plant products,citrus aurantium dulcis extract
,,,,,,plant products,citrus aurantium extract
,,,,,,plant products,citrus limon extract
,,,,,,plant products,citrus unshiu
,,,,,,plant products,citrus unshiu peel extract
,,,,,,plant products,clary sage
,,,,,,plant products,clove leaf
,,,,,,plant products,clover blossom
,,,,,,plant products,coccinia
,,,,,,plant products,cocoa butter
,,,,,,plant products,cocoa extract
,,,,,,plant products,codonopsis
,,,,,,plant products,coffee fruit extract
,,,,,,plant products,coffee seed extract
,,,,,,plant products,coffeeberry
,,,,,,plant products,cola acuminata
,,,,,,plant products,coleus barbatus
,,,,,,plant products,comfrey extract
,,,,,,plant products,coneflower
,,,,,,plant products,copaifera
,,,,,,plant products,copaifera officinalis
,,,,,,plant products,coptis chinensis
,,,,,,plant products,corallina officinalis extract
,,,,,,plant products,cork oak
,,,,,,plant products,cornflower
,,,,,,plant products,cornmint
,,,,,,plant products,cornstarch
,,,,,,plant products,cornus extract
,,,,,,plant products,cornus officinalis
,,,,,,plant products,corydalis
,,,,,,plant products,cottonseed
,,,,,,plant products,cranberry seed extract
,,,,,,plant products,cucumis sativus extract
,,,,,,plant products,cucurbita pepo seed extract
,,,,,,plant products,cupuacu
,,,,,,plant products,curcuma longa root extract
,,,,,,plant products,cymbopogon martini
,,,,,,plant products,daisy flower extract
,,,,,,plant products,damask rose
,,,,,,plant products,dandelion
,,,,,,plant products,dang gui
,,,,,,plant products,davana
,,,,,,plant products,devilwood
,,,,,,plant products,dill extract
,,,,,,plant products,dioscorea villosa extract
,,,,,,plant products,dog rose
,,,,,,plant products,dogwood
,,,,,,plant products,dong quai
,,,,,,plant products,dulse
,,,,,,plant products,eclipta prostrata extract
,,,,,,plant products,edelweiss
,,,,,,plant products,egyptian musk
,,,,,,plant products,elaeis guineensis
,,,,,,plant products,elderberry fruit extract
,,,,,,plant products,elderberry oil
,,,,,,plant products,elderflower
,,,,,,plant products,elecampane
,,,,,,plant products,elemi
,,,,,,plant products,emblica
,,,,,,plant products,english ivy extract
,,,,,,plant products,enteromorpha compressa extract
,,,,,,plant products,ephedra
,,,,,,plant products,epimedium
,,,,,,plant products,equisetum arvense extract
,,,,,,plant products,ergosterol
,,,,,,plant products,eriobotrya japonica
,,,,,,plant products,eucalyptus
,,,,,,plant products,eucalyptus extract
,,,,,,plant products,eugenia caryophyllus
,,,,,,plant products,euphorbia cerifera wax
,,,,,,plant products,evening primrose
,,,,,,plant products,evodia
,,,,,,plant products,evodia rutaecarpa extract
,,,,,,plant products,eyebright
,,,,,,plant products,female ginseng
,,,,,,plant products,fennel seed extract
,,,,,,plant products,ferula galbaniflua
,,,,,,plant products,feverfew extract
,,,,,,plant products,fig fruit extract
,,,,,,plant products,filipendula rubra
,,,,,,plant products,fish cartilage extract
,,,,,,plant products,flavonoids
,,,,,,plant products,flower
,,,,,,plant products,foeniculum vulgare extract
,,,,,,plant products,frangipani
,,,,,,plant products,frankincense
,,,,,,plant products,frankincense extract
,,,,,,plant products,freesia
,,,,,,plant products,fruit acid
,,,,,,plant products,fruit enzyme
,,,,,,plant products,fu ling
,,,,,,plant products,fucoidan
,,,,,,plant products,fucoxanthin
,,,,,,plant products,fulvic acid
,,,,,,plant products,fumaria officinalis
,,,,,,plant products,fumitory
,,,,,,plant products,fungus
,,,,,,plant products,galangal
,,,,,,plant products,galbanum
,,,,,,plant products,gallnut
,,,,,,plant products,ganoderma extract
,,,,,,plant products,garcinia cambogia
,,,,,,plant products,gardenia
,,,,,,plant products,garlic oil
,,,,,,plant products,gellan gum
,,,,,,plant products,gentian root extract
,,,,,,plant products,gentiana lutea
,,,,,,plant products,geranium
,,,,,,plant products,geranium extract
,,,,,,plant products,ginger extract
,,,,,,plant products,ginger root
,,,,,,plant products,ginkgo biloba leaf extract
,,,,,,plant products,glycyrrhiza glabra root extract
,,,,,,plant products,goats beard
,,,,,,plant products,golden chamomile extract
,,,,,,plant products,goldenrod
,,,,,,plant products,goldenseal
,,,,,,plant products,goldenseal extract
,,,,,,plant products,gooseberry fruit extract
,,,,,,plant products,grape seed extract
,,,,,,plant products,grapefruit peel extract
,,,,,,plant products,green algae
,,,,,,plant products,grindelia robusta
,,,,,,plant products,gromwell
,,,,,,plant products,guaiac
,,,,,,plant products,guar gum
,,,,,,plant products,guarana
,,,,,,plant products,guava extract
,,,,,,plant products,guazuma ulmifolia
,,,,,,plant products,gurmar
,,,,,,plant products,haematococcus pluvialis extract
,,,,,,plant products,hamamelis virginiana extract
,,,,,,plant products,hamamelis virginiana leaf extract
,,,,,,plant products,hayflower extract
,,,,,,plant products,heartleaf
,,,,,,plant products,hedera helix
,,,,,,plant products,helianthus annuus extract
,,,,,,plant products,helichrysum
,,,,,,plant products,heliotrope
,,,,,,plant products,hemicellulose
,,,,,,plant products,henbane
,,,,,,plant products,henna
,,,,,,plant products,hexokinase
,,,,,,plant products,hibiscus
,,,,,,plant products,hibiscus flower
,,,,,,plant products,hinoki wood
,,,,,,plant products,hoelen
,,,,,,plant products,honey extract
,,,,,,plant products,honeysuckle
,,,,,,plant products,honeysuckle flower extract
,,,,,,plant products,hops
,,,,,,plant products,horny goat weed
,,,,,,plant products,horse chestnut
,,,,,,plant products,horse chestnut extract
,,,,,,plant products,horsetail
,,,,,,plant products,horsetail extract
,,,,,,plant products,houttuynia cordata
,,,,,,plant products,huang qi
,,,,,,plant products,hydrolyzed yeast extract
,,,,,,plant products,hypericum extract
,,,,,,plant products,hypericum perforatum extract
,,,,,,plant products,hypnea
,,,,,,plant products,hyssop extract
,,,,,,plant products,hyssop flower
,,,,,,plant products,hyssop leaf
,,,,,,plant products,imperata cylindrica root extract
,,,,,,plant products,iris florentina extract
,,,,,,plant products,irish moss
,,,,,,plant products,irish moss extract
,,,,,,plant products,ivy gourd fruit extract
,,,,,,plant products,japan wax
,,,,,,plant products,japanese cypress
,,,,,,plant products,japanese rose
,,,,,,plant products,jasmine
,,,,,,plant products,jasminoides
,,,,,,plant products,jojoba
,,,,,,plant products,jojoba beads
,,,,,,plant products,juniper berry
,,,,,,plant products,juniperus communis
,,,,,,plant products,kakadu plum
,,,,,,plant products,kanpyo
,,,,,,plant products,kava
,,,,,,plant products,kava leaf
,,,,,,plant products,kelp
,,,,,,plant products,kigelia africana fruit extract
,,,,,,plant products,kiwi fruit extract
,,,,,,plant products,knotweed
,,,,,,plant products,konjac
,,,,,,plant products,kudzu root
,,,,,,plant products,labdanum
,,,,,,plant products,laminaria algae extract
,,,,,,plant products,laminaria longicruris
,,,,,,plant products,laminaria saccharina extract
,,,,,,plant products,lamium album
,,,,,,plant products,larrea tridentata
,,,,,,plant products,laurus nobilis
,,,,,,plant products,lavandin plant
,,,,,,plant products,lavender
,,,,,,plant products,lemon eucalyptus
,,,,,,plant products,lemon myrtle
,,,,,,plant products,lemongrass
,,,,,,plant products,lemongrass extract
,,,,,,plant products,leontopodium alpinum
,,,,,,plant products,leontopodium alpinum callus culture extract
,,,,,,plant products,lilac
,,,,,,plant products,lily
,,,,,,plant products,limon fruit
,,,,,,plant products,linseed glycerides
,,,,,,plant products,lion's mane
,,,,,,plant products,lions mane mushroom
,,,,,,plant products,lithospermum erythrorhizon
,,,,,,plant products,litsea
,,,,,,plant products,locust bean
,,,,,,plant products,lonicera caprifolium extract
,,,,,,plant products,lonicera caprifolium flower extract
,,,,,,plant products,lonicera japonica flower extract
,,,,,,plant products,loquat leaves
,,,,,,plant products,lotus flower
,,,,,,plant products,lupine
,,,,,,plant products,lupinus albus extract
,,,,,,plant products,magnolia
,,,,,,plant products,magnolia extract
,,,,,,plant products,mahonia aquifolium root extract
,,,,,,plant products,mallow
,,,,,,plant products,mandarin orange
,,,,,,plant products,mango butter
,,,,,,plant products,mangosteen peel extract
,,,,,,plant products,maple
,,,,,,plant products,maqui
,,,,,,plant products,maqui berry
,,,,,,plant products,marshamallow
,,,,,,plant products,marula
,,,,,,plant products,meadowsweet extract
,,,,,,plant products,melibiose
,,,,,,plant products,melon fruit extract
,,,,,,plant products,mentha aquatica leaf extract
,,,,,,plant products,microalgae
,,,,,,plant products,microcystis aeruginosa
,,,,,,plant products,milk thistle
,,,,,,plant products,milkweed
,,,,,,plant products,mint
,,,,,,plant products,moringa oil
,,,,,,plant products,moroccan mint
,,,,,,plant products,mucor miehei extract
,,,,,,plant products,mugwort
,,,,,,plant products,muira puama
,,,,,,plant products,mulberry
,,,,,,plant products,mullein
,,,,,,plant products,murumuru
,,,,,,plant products,mushroom extract
,,,,,,plant products,mushroom oil
,,,,,,plant products,musk thistle
,,,,,,plant products,mycelium
,,,,,,plant products,myrtle extract
,,,,,,plant products,neroli
,,,,,,plant products,nettle
,,,,,,plant products,nettle leaf
,,,,,,plant products,nigella oil
,,,,,,plant products,nymphaea tetragona
,,,,,,plant products,oak bark
,,,,,,plant products,oakmoss
,,,,,,plant products,oat beta glucan
,,,,,,plant products,oat extract
,,,,,,plant products,oleander
,,,,,,plant products,olive glycerides
,,,,,,plant products,olive leaf
,,,,,,plant products,onion pills
,,,,,,plant products,orange flower
,,,,,,plant products,orchid
,,,,,,plant products,orris
,,,,,,plant products,orris root
,,,,,,plant products,osmanthus
,,,,,,plant products,oud
,,,,,,plant products,oudh
,,,,,,plant products,padina pavonica thallus extract
,,,,,,plant products,palmarosa
,,,,,,plant products,palo santo
,,,,,,plant products,panicum miliaceum
,,,,,,plant products,papain
,,,,,,plant products,papaina
,,,,,,plant products,papaya enzyme
,,,,,,plant products,papaya extract
,,,,,,plant products,papaya oil
,,,,,,plant products,passion fruit extract
,,,,,,plant products,passionflower
,,,,,,plant products,patchouli
,,,,,,plant products,pea extract
,,,,,,plant products,peach blossom
,,,,,,plant products,peach extract
,,,,,,plant products,pearl extract
,,,,,,plant products,pecan oil
,,,,,,plant products,pellitory
,,,,,,plant products,peony
,,,,,,plant products,peppermint
,,,,,,plant products,peppermint extract
,,,,,,plant products,persicaria hydropiper
,,,,,,plant products,peumus boldus
,,,,,,plant products,phellodendron amurense bark extract
,,,,,,plant products,phragmites
,,,,,,plant products,physalis angulata extract
,,,,,,plant products,phytoncide
,,,,,,plant products,pine bark extract
,,,,,,plant products,pineapple enzyme
,,,,,,plant products,pink pepper
,,,,,,plant products,pinus pinaster bark extract
,,,,,,plant products,pinus sylvestris extract
,,,,,,plant products,pinyon pine
,,,,,,plant products,piper methysticum extract
,,,,,,plant products,pitera essence
,,,,,,plant products,plankton extract
,,,,,,plant products,plantago lanceolata leaf extract
,,,,,,plant products,plumeria
,,,,,,plant products,polygonum aviculare extract
,,,,,,plant products,polyporus umbellatus
,,,,,,plant products,poplar
,,,,,,plant products,poppy flower
,,,,,,plant products,porphyridium cruentum extract
,,,,,,plant products,portulaca oleracea extract
,,,,,,plant products,prickly pear
,,,,,,plant products,primrose
,,,,,,plant products,pseudoalteromonas ferment extract
,,,,,,plant products,psilocybin
,,,,,,plant products,pumpkin ferment extract
,,,,,,plant products,purslane
,,,,,,plant products,pycnogenol
,,,,,,plant products,pyrus malus fruit extract
,,,,,,plant products,qasil
,,,,,,plant products,quercetin
,,,,,,plant products,quince seed
,,,,,,plant products,radish root
,,,,,,plant products,ravintsara
,,,,,,plant products,red algae
,,,,,,plant products,rehmannia
,,,,,,plant products,rhamnose
,,,,,,plant products,rice bran
,,,,,,plant products,rice bran oil
,,,,,,plant products,rooibos
,,,,,,plant products,rosa centifolia flower
,,,,,,plant products,rosa eglanteria
,,,,,,plant products,rose
,,,,,,plant products,rose flower
,,,,,,plant products,rose hip
,,,,,,plant products,rose hydrosol
,,,,,,plant products,rose water
,,,,,,plant products,rosehip
,,,,,,plant products,rosemary extract
,,,,,,plant products,rosmarinus officinalis leaf extract
,,,,,,plant products,rubus fruticosus
,,,,,,plant products,rubus idaeus fruit extract
,,,,,,plant products,rumex acetosa leaf extract
,,,,,,plant products,ruscus aculeatus root extract
,,,,,,plant products,safflower
,,,,,,plant products,saffron oil
,,,,,,plant products,salix alba bark extract
,,,,,,plant products,sandalwood
,,,,,,plant products,sapindus mukurossi fruit extract
,,,,,,plant products,sassafras
,,,,,,plant products,saw palmetto
,,,,,,plant products,saxifraga sarmentosa extract
,,,,,,plant products,scutellaria baicalensis root extract
,,,,,,plant products,sea cucumber extract
,,,,,,plant products,sea grape
,,,,,,plant products,sea kale
,,,,,,plant products,sea moss
,,,,,,plant products,sea whip extract
,,,,,,plant products,seaberry
,,,,,,plant products,seaweed
,,,,,,plant products,senna
,,,,,,plant products,serenoa serrulata extract
,,,,,,plant products,shatavari
,,,,,,plant products,shea butter extract
,,,,,,plant products,shilajit
,,,,,,plant products,shiso leaf
,,,,,,plant products,silken tofu
,,,,,,plant products,silybum marianum extract
,,,,,,plant products,snow mushroom
,,,,,,plant products,solanum lycopersicum extract
,,,,,,plant products,solanum tuberosum extract
,,,,,,plant products,sorghum
,,,,,,plant products,soy extract
,,,,,,plant products,spearmint
,,,,,,plant products,sporocarp
,,,,,,plant products,st john's wort
,,,,,,plant products,strawberry fruit extract
,,,,,,plant products,strawberry seeds
,,,,,,plant products,streptococcus agalactiae
,,,,,,plant products,styrax benzoin resin extract
,,,,,,plant products,sugar beet
,,,,,,plant products,sugarcane extract
,,,,,,plant products,summer snowflake
,,,,,,plant products,sunflower lecithin
,,,,,,plant products,sweet fern
,,,,,,plant products,symphytum officinale root extract
,,,,,,plant products,szechuan peppercorn
,,,,,,plant products,tanacetum parthenium
,,,,,,plant products,teak
,,,,,,plant products,tepezcohuite
,,,,,,plant products,tiger grass
,,,,,,plant products,toasted coconut
,,,,,,plant products,tomato extract
,,,,,,plant products,tomato oil
,,,,,,plant products,tongkat ali
,,,,,,plant products,torch ginger
,,,,,,plant products,tremella fuciformis sporocarp extract
,,,,,,plant products,tremella mushroom
,,,,,,plant products,tribulus
,,,,,,plant products,tuber melanosporum extract
,,,,,,plant products,tuberose
,,,,,,plant products,tulsi tea
,,,,,,plant products,turkey tail mushroom
,,,,,,plant products,turpentine
,,,,,,plant products,uncaria
,,,,,,plant products,uva ursi leaf
,,,,,,plant products,vaccinium myrtillus fruit extract
,,,,,,plant products,vanilla orchid
,,,,,,plant products,vanilla planifolia fruit extract
,,,,,,plant products,verbena
,,,,,,plant products,vetiver
,,,,,,plant products,vetiveria zizanioides
,,,,,,plant products,vitex
,,,,,,plant products,wakame
,,,,,,plant products,watermelon fruit extract
,,,,,,plant products,white button
,,,,,,plant products,white spruce
,,,,,,plant products,white tea leaf extract
,,,,,,plant products,white truffle
,,,,,,plant products,white willow bark
,,,,,,plant products,willow bark
,,,,,,plant products,willow herb
,,,,,,plant products,winter cherry
,,,,,,plant products,wintergreen
,,,,,,plant products,witch hazel
,,,,,,plant products,witch hazel extract
,,,,,,plant products,wood ear
,,,,,,plant products,xylan
,,,,,,plant products,yarrow
,,,,,,plant products,yeast extract
,,,,,,plant products,yerba mate liquid extract
,,,,,,plant products,ylang ylang
,,,,,,plant products,yohimbe
,,,,,,plant products,yomogi
,,,,,,plant products,yucca extract
,,,,,,plant products,yucca root
,,,,,,plant products,zingiber officinale root extract
,,,,,,postbiotic products,postbiotics
,,,,,,prebiotic products,burdock root
,,,,,,prebiotic products,dandelion greens
,,,,,,prebiotic products,flax seed
,,,,,,prebiotic products,jerusalem artichoke
,,,,,,prebiotic products,jicama
,,,,,,prebiotic products,konjac root
,,,,,,prebiotic products,leeks
,,,,,,prebiotic products,prebiotics
,,,,,,prebiotic products,yacon root
,,,,,,probiotic products,advanced digestive probiotic
,,,,,,probiotic products,akkermansia probiotic
,,,,,,probiotic products,apple cider vinegar
,,,,,,probiotic products,bacillus coagulans probiotic
,,,,,,probiotic products,bc30 probiotic
,,,,,,probiotic products,bifidus probiotic
,,,,,,probiotic products,boulardii probiotic
,,,,,,probiotic products,bromelain probiotics
,,,,,,probiotic products,buttermilk
,,,,,,probiotic products,candida
,,,,,,probiotic products,candida cleanse
,,,,,,probiotic products,candida cleanse pills
,,,,,,probiotic products,cfu probiotics
,,,,,,probiotic products,chewable protein tablets
,,,,,,probiotic products,chitosanase probiotic
,,,,,,probiotic products,dietary fibers
,,,,,,probiotic products,feminine probiotic
,,,,,,probiotic products,kefir
,,,,,,probiotic products,kimchi
,,,,,,probiotic products,kombucha
,,,,,,probiotic products,kvass
,,,,,,probiotic products,miso
,,,,,,probiotic products,natto
,,,,,,probiotic products,pickles
,,,,,,probiotic products,probiotics
,,,,,,probiotic products,royal jelly
,,,,,,probiotic products,sauerkraut
,,,,,,probiotic products,tempeh
,,,,,,probiotic products,yeast cleanse
,,,,,,probiotic products,yogurt
,,,,,,water products,water
,,,,,,amino acid products,amino acid blend
,,,,,,amino acid products,amino acids
,,,,,,amino acid products,arginine
,,,,,,amino acid products,aspartic acid
,,,,,,amino acid products,bcaa
,,,,,,amino acid products,carnosine
,,,,,,amino acid products,carnosine oil
,,,,,,amino acid products,creatine
,,,,,,amino acid products,creatine hcl
,,,,,,amino acid products,gaba
,,,,,,amino acid products,glycine
,,,,,,amino acid products,histidine
,,,,,,amino acid products,homocysteine
,,,,,,amino acid products,l arginine
,,,,,,amino acid products,l theanine
,,,,,,amino acid products,l-glutamine
,,,,,,amino acid products,lauroyl lysine
,,,,,,amino acid products,n acetylcysteine
,,,,,,amino acid products,nac
,,,,,,amino acid products,ornithine
,,,,,,amino acid products,palmitoylethanolamide
,,,,,,amino acid products,peptide
,,,,,,amino acid products,suntheanine
,,,,,,amino acid products,taurine
,,,,,,amino acid products,theanine
,,,,,,amino acid products,threonine
,,,,,,amino acid products,triple peptide
,,,,,,antioxidant products,alpha lipoic acid
,,,,,,antioxidant products,antioxidant
,,,,,,antioxidant products,cherry concentrate
,,,,,,antioxidant products,coenzyme q10
,,,,,,antioxidant products,glutathione
,,,,,,antioxidant products,glutathione plus cream
,,,,,,antioxidant products,hydroxytyrosol
,,,,,,antioxidant products,liqiud alpha lipoic acid
,,,,,,antioxidant products,lutein
,,,,,,antioxidant products,pqq
,,,,,,antioxidant products,resveratrol
,,,,,,antioxidant products,zanthin
,,,,,,blended vitamins & minerals,acid phosphatase
,,,,,,blended vitamins & minerals,ascorbic acid
,,,,,,blended vitamins & minerals,barium sulfide
,,,,,,blended vitamins & minerals,bentonite
,,,,,,blended vitamins & minerals,binchotan charcoal
,,,,,,blended vitamins & minerals,cadmium sulfide
,,,,,,blended vitamins & minerals,calcium
,,,,,,blended vitamins & minerals,calcium & magnesium
,,,,,,blended vitamins & minerals,calcium aluminum borosilicate
,,,,,,blended vitamins & minerals,calcium sulfide
,,,,,,blended vitamins & minerals,charcoal
,,,,,,blended vitamins & minerals,chromium
,,,,,,blended vitamins & minerals,copper hydroxide
,,,,,,blended vitamins & minerals,copper sulfide
,,,,,,blended vitamins & minerals,dead sea mud
,,,,,,blended vitamins & minerals,fluoride
,,,,,,blended vitamins & minerals,folic acid
,,,,,,blended vitamins & minerals,hydroxyapatite
,,,,,,blended vitamins & minerals,iodic acid
,,,,,,blended vitamins & minerals,iron
,,,,,,blended vitamins & minerals,lithium
,,,,,,blended vitamins & minerals,lithium hydroxide
,,,,,,blended vitamins & minerals,lithium sulfide
,,,,,,blended vitamins & minerals,magnesium
,,,,,,blended vitamins & minerals,magnesium ascorbate
,,,,,,blended vitamins & minerals,magnesium ascorbyl phosphate
,,,,,,blended vitamins & minerals,magnesium aspartate
,,,,,,blended vitamins & minerals,magnesium carbonate
,,,,,,blended vitamins & minerals,magnesium chloride
,,,,,,blended vitamins & minerals,magnesium citrate
,,,,,,blended vitamins & minerals,magnesium gluconate
,,,,,,blended vitamins & minerals,magnesium glycinate
,,,,,,blended vitamins & minerals,magnesium hydroxide
,,,,,,blended vitamins & minerals,magnesium laureth sulfate
,,,,,,blended vitamins & minerals,magnesium myristate
,,,,,,blended vitamins & minerals,magnesium sulfide
,,,,,,blended vitamins & minerals,manganese
,,,,,,blended vitamins & minerals,mercury sulfide
,,,,,,blended vitamins & minerals,mica
,,,,,,blended vitamins & minerals,mineral
,,,,,,blended vitamins & minerals,montmorillonite
,,,,,,blended vitamins & minerals,niacinamide
,,,,,,blended vitamins & minerals,pancreatin
,,,,,,blended vitamins & minerals,periodic acid
,,,,,,blended vitamins & minerals,potassium
,,,,,,blended vitamins & minerals,retinoic acid
,,,,,,blended vitamins & minerals,retinoid
,,,,,,blended vitamins & minerals,retinyl palmitate
,,,,,,blended vitamins & minerals,salt
,,,,,,blended vitamins & minerals,selenium
,,,,,,blended vitamins & minerals,selenium sulfide
,,,,,,blended vitamins & minerals,silica
,,,,,,blended vitamins & minerals,silver sulfide
,,,,,,blended vitamins & minerals,sodium
,,,,,,blended vitamins & minerals,strontium hydroxide
,,,,,,blended vitamins & minerals,strontium sulfide
,,,,,,blended vitamins & minerals,sulfur
,,,,,,blended vitamins & minerals,talc
,,,,,,blended vitamins & minerals,tocopherol
,,,,,,blended vitamins & minerals,tocopheryl acetate
,,,,,,blended vitamins & minerals,zinc
,,,,,,blended vitamins & minerals,zinc hydroxide
,,,,,,blended vitamins & minerals,zinc sulfide
,,,,,,collagen products,bone broth
,,,,,,collagen products,collagen
,,,,,,collagen products,marine collagen
,,,,,,collagen products,vegan collagen
,,,,,,drugs & medication,acetaminophen
,,,,,,drugs & medication,amiodarone
,,,,,,drugs & medication,anticholinergic
,,,,,,drugs & medication,cholinergic
,,,,,,drugs & medication,deutetrabenazine
,,,,,,drugs & medication,digoxin
,,,,,,drugs & medication,dilantin
,,,,,,drugs & medication,doxorubicin
,,,,,,drugs & medication,fluconazole
,,,,,,drugs & medication,fluoroquinolone
,,,,,,drugs & medication,gentamicin
,,,,,,drugs & medication,glutaraldehyde
,,,,,,drugs & medication,ketamine
,,,,,,drugs & medication,lidocaine
,,,,,,drugs & medication,mefloquine
,,,,,,drugs & medication,methotrexate
,,,,,,drugs & medication,microdosing
,,,,,,drugs & medication,phenytoin
,,,,,,drugs & medication,theophylline
,,,,,,drugs & medication,tranexamic acid
,,,,,,drugs & medication,vancomycin
,,,,,,hormone products,adrenocorticotropic hormone
,,,,,,hormone products,aldosterone
,,,,,,hormone products,androstenedione
,,,,,,hormone products,angiotensin
,,,,,,hormone products,calcitonin
,,,,,,hormone products,cholecystokinin
,,,,,,hormone products,cortisol
,,,,,,hormone products,dhea
,,,,,,hormone products,dim
,,,,,,hormone products,dopamine
,,,,,,hormone products,endorphins
,,,,,,hormone products,erythropoietin
,,,,,,hormone products,estradiol
,,,,,,hormone products,estriol
,,,,,,hormone products,estrogen
,,,,,,hormone products,estrone
,,,,,,hormone products,eutanol
,,,,,,hormone products,finasteride
,,,,,,hormone products,follicle-stimulating hormone
,,,,,,hormone products,gastrin
,,,,,,hormone products,ghrelin
,,,,,,hormone products,glucagon
,,,,,,hormone products,gonadotropin-releasing hormone
,,,,,,hormone products,growth hormone
,,,,,,hormone products,hormone
,,,,,,hormone products,human chorionic gonadotropin
,,,,,,hormone products,human placental lactogen
,,,,,,hormone products,hydromorphone hydrochloride
,,,,,,hormone products,insulin
,,,,,,hormone products,leptin
,,,,,,hormone products,melatonin
,,,,,,hormone products,norepinephrine
,,,,,,hormone products,oxytocin
,,,,,,hormone products,parathyroid hormone
,,,,,,hormone products,progesterone
,,,,,,hormone products,prolactin
,,,,,,hormone products,sam-e
,,,,,,hormone products,secretin
,,,,,,hormone products,somatostatin
,,,,,,hormone products,testosterone
,,,,,,hormone products,thyroxine
,,,,,,hormone products,triiodothyronine
,,,,,,hormone products,vasopressin
,,,,,,multi-enzymes,bromelain
,,,,,,multi-enzymes,dairy enzyme
,,,,,,multi-enzymes,dao
,,,,,,multi-enzymes,digestive enzymes
,,,,,,multi-enzymes,lysozyme
,,,,,,multi-enzymes,nmn
